"Адрес ""грязный""";Адрес чистый
Самарская область, Исаклинский район, д. Два Ключа, ул. Новая, 6.;д. Два Ключа, ул. Новая, 6.
Республика Бурятия, Кяхтинский район, с. Хутор, ул.Советская, 23;с. Хутор, ул.Советская, 23
Удмуртская Республика, Шарканский район, с. Шаркан, ул. Советская, 38а;с. Шаркан, ул. Советская, 38а
Ханты-Мансийский автономный округ – Югра, Нижневартовский район, поселок Зайцева речка, Центральная улица, дом 5;п. Зайцева речка, Центральная улица, дом 5
Нижегородская область, Починковский район, с. Ризоватово, ул. Коминтерна, 136;с. Ризоватово, ул. Коминтерна, 136
Кабардино-Балкарская Республика, Зольский район, с. Камлюко, ул. Школьная, 5;с. Камлюко, ул. Школьная, 5
Смоленская область, Темкинский район, Нарытка, ул. Центральная, 15;Нарытка, ул. Центральная, 15
Оренбургская область, Курманаевский район, с. Михайловка, ул. Ленина, 37;с. Михайловка, ул. Ленина, 37
Смоленская область, Краснинский район, Красная Горка, ул. Центральная, 1;Красная Горка, ул. Центральная, 1
Россия, Ивановская область, Савинский район, деревня Покровское, ул. Фабричная, д. 4;деревня Покровское, ул. Фабричная, д. 4
Курганская область, Щучанский район, д. Арасланова, ул. Озерная, д. д.84 пом. 2;д. Арасланова, ул. Озерная, д. д.84 пом. 2
Республика Башкортостан, Нуримановский район, с. Старокулево, ул. Советская, 30;с. Старокулево, ул. Советская, 30
Воронежская обл., Калачеевский р-н, с. Россыпное, ул. Ленина, 40;с. Россыпное, ул. Ленина, 40
Томская область, Кожевниковский район, с. Батурино, ул. Школьная, 1;с. Батурино, ул. Школьная, 1
Республика Башкортостан, Благовещенский район, с. Староиликово, ул. Трудовая, 2;с. Староиликово, ул. Трудовая, 2
Самарская область, Челно-Вершинский район, с. Краснояриха, ул. Центральная, 10.;с. Краснояриха, ул. Центральная, 10.
Вологодская область, Кадуйский район, д. Андроново, ул. Надежды, 15;д. Андроново, ул. Надежды, 15
Удмуртская Республика, Каракулинский район, д. Кухтино, ул. Центральная, 10;д. Кухтино, ул. Центральная, 10
Курганская область, Лебяжьевский район, д. Суерская, ул. Весенняя, 45;д. Суерская, ул. Весенняя, 45
Республика Башкортостан, Мишкинский район, д. Чебыково, ул. Ленина, 40;д. Чебыково, ул. Ленина, 40
Республика Карелия, Медвежьегорский район, п. Ламбасручей, ул. Механизаторов, 17;п. Ламбасручей, ул. Механизаторов, 17
Республика Коми, Удорский район, д. Кривое, 2;д. Кривое, 2
Республика Башкортостан, Благовещенский район, с. Староиликово, ул. Трудовая, 4;с. Староиликово, ул. Трудовая, 4
Республика Калмыкия, г. Элиста, мкр. 3,  26;г. Элиста, мкр. 3, 26
Бурятия респ., Джидинский р-н, с дробь п Оерское, с. Оер, ул. Центральная, 3;с дробь п Оерское, с. Оер, ул. Центральная, 3
Республика Карелия, Пряжинский район, п. Кинелахта;п. Кинелахта
Кировская обл., Пижанский р-н, пгт. Пижанка, ул. Советская, 32;пгт. Пижанка, ул. Советская, 32
Нижегородская область, г. Шахунья, с. Верховское, ул. Цетральная, 9;г. Шахунья, с. Верховское, ул. Цетральная, 9
Воронежская область, Павловский район, село Пески, улица Скрынникова, дом 15;с. Пески,ул. Скрынникова, дом 15
Республика Башкортостан, Янаульский район, , с. Прогрессн, ул. Центральная, 1;с. Прогрессн, ул. Центральная, 1
Республика Башкортостан, Хайбуллинский район, д. Новоукраинка, ул. Полтавская,;д. Новоукраинка, ул. Полтавская,
Белгородская область, Прохоровский район, село Лучки, ул. Центральная, д. 10;с. Лучки, ул. Центральная, д. 10
Курганская область, Притобольный район, с. Межборное, ул. Сосновая, 8;с. Межборное, ул. Сосновая, 8
Свердловская область, г. Краснотурьинск, ул. Попова, 46;г. Краснотурьинск, ул. Попова, 46
Республика Марий Эл, Волжский район, д. Полевая, ул. Новая, 8;д. Полевая, ул. Новая, 8
Самарская область, Большеглушицкий район, с. Большая Глушица, ул. Зелёная, 9;с. Большая Глушица, ул. Зелёная, 9
Вологодская область, Вологодский район, д. Новое, 60;д. Новое, 60
Республика Башкортостан, Учалинский район, д. Курама, ул. Первое Мая, 31;д. Курама, ул. Первое Мая, 31
Ставропольский край, г. Пятигорск, п. Горячеводский, ул. Ленина, 25;г. Пятигорск, п. Горячеводский, ул. Ленина, 25
Томская область, Первомайский район, с. Комсомольск, ул. Причулымская, 40;с. Комсомольск, ул. Причулымская, 40
Нижегородская область, Гагинский район, с. Ветошкино, ул. Школьная, д.28;с. Ветошкино, ул. Школьная, д.28
Воронежская обл., Россошанский р-н, с. Поддубное, ул. Молодежная, 14 А;с. Поддубное, ул. Молодежная, 14 А
Республика Башкортостан, Бирский район, с. Николаевка, ул. Школьная, д 1;с. Николаевка, ул. Школьная, д 1
Ставропольский край, Георгиевский район, ст-ца Александрийская, ул. Первомайская, 53;ст-ца Александрийская, ул. Первомайская, 53
Хабаровский край, Ульчский район, с. Сусанино, ул. Центральная, 80;с. Сусанино, ул. Центральная, 80
Белгородская область, Новооскольский район, село Яковлевка, ул. Центральная, д. 42;с. Яковлевка, ул. Центральная, д. 42
Липецкая область, Усманский район, с. Октябрьское, пр-кт Революции;с. Октябрьское, пр-кт Революции
Республика Башкортостан, Туймазинский район, с.Сайраново, ул.Советская, 2;с.Сайраново, ул.Советская, 2
Воронежская обл., Павловский р-н, с. Пески, ул. Скрынникова, 17;с. Пески, ул. Скрынникова, 17
Хабаровский край, Ульчский район, с. Сусанино, ул. Центральная, 78;с. Сусанино, ул. Центральная, 78
Республика Мордовия, Зубово-Полянский район, с. Покровские Селищи , ул. Монастырская, 164;с. Покровские Селищи , ул. Монастырская, 164
Вологодская область, Грязовецкий район, д. Вараксино, 67;д. Вараксино, 67
Владимирская область, Петушинский район, Село Андреевское, без улицы, 12;с. Андреевское, без улицы, 12
Республика Мордовия, Зубово-Полянский район, с. Покровские Селищи, ул. Монастырская,6;с. Покровские Селищи, ул. Монастырская,6
Курганская область, Петуховский район, с. Зотино, ул. Центральная, 25;с. Зотино, ул. Центральная, 25
Пензенская область, Кузнецкий район, с. Большой Труев;с. Большой Труев
Республика Калмыкия, Городовиковский р-н, с. Веселое, ул.Гагарина, 31;с. Веселое, ул.Гагарина, 31
Курганская область, Щучанский район, с. Белоярское, ул. Дмитриева, 66;с. Белоярское, ул. Дмитриева, 66
Вологодская область, Тотемский район, д. Кудринская, 13;д. Кудринская, 13
Республика Адыгея, Тахтамукайский район, п. Кубаньстрой, ул. Центральная, д. 5;п. Кубаньстрой, ул. Центральная, д. 5
Воронежская область, Богучарский район, село Твердохлебовка, улица Калинина дом 11А;с. Твердохлебовка,ул. Калинина дом 11А
Камчатский край, Соболевский район, п. Крутогоровский, ул. Сахалинская, 34;п. Крутогоровский, ул. Сахалинская, 34
Курганская область, Притобольный район, с. Межборное, ул. Сосновая, 2;с. Межборное, ул. Сосновая, 2
Томская область, Томский район, д. Подломск, ул. Молодежная, 18;д. Подломск, ул. Молодежная, 18
Оренбургская область, Кваркенский район, с. Екатериновка, ул. Октябрьская, 3.;с. Екатериновка, ул. Октябрьская, 3.
Республика Башкортостан, Туймазинский район, с. Сайраново, ул. Советская, 31;с. Сайраново, ул. Советская, 31
Чувашская Республика - Чувашия, Красноармейский р-н, с. Именево, ул. К. Маркса, 12А;Чувашия, с. Именево, ул. К. Маркса, 12А
Вологодская область, Вологодский район, с. Новленское, ул. Советская,  24;с. Новленское, ул. Советская, 24
Смоленская область, г. Смоленск, ул. Папанина, 1;г. Смоленск, ул. Папанина, 1
Самарская область, Пестравский район, с. Марьевка, ул. Советская, 11а;с. Марьевка, ул. Советская, 11а
Нижегородская область, Воскресенский район, д. Асташиха, Центральная ул., 98;д. Асташиха, Центральная ул., 98
Вологодская область, Вытегорский район, с. Анненский Мост;с. Анненский Мост
Воронежская область, Острогожский район, село Нижний Ольшан, Молодежная улица, дом 11;с. Нижний Ольшан, Молодежная улица, дом 11
Республика Башкортостан, Хайбуллинский район, с. Галиахметово, ул. Мира, 6, корпус;с. Галиахметово, ул. Мира, 6, корпус
Курганская область, Щучанский район, с. Отрадное, ул. Советская, 1;с. Отрадное, ул. Советская, 1
Республика Башкортостан, Балтачевский район, с. Тучубаево, ул. Школьная, 1;с. Тучубаево, ул. Школьная, 1
Белгородская область, Ракитянский район, село Псковское, ул. Центральная, д. 12;с. Псковское, ул. Центральная, д. 12
Вологодская область, Междуреченский район, с. Старое, ул. Школьная, 9;с. Старое, ул. Школьная, 9
Астраханская область, Черноярский район, с. Ступино, ул. 1 Мая, 16;с. Ступино, ул. 1 Мая, 16
Республика Башкортостан, Янаульский район, г. Янаул, ул. Ленина, 20;г. Янаул, ул. Ленина, 20
Кировская обл., Уржумский р-н, д. Адово, ул. Школьная, 17;д. Адово, ул. Школьная, 17
Вологодская область, Верховажский район, п. Феклуха, ул. Школьная, 20;п. Феклуха, ул. Школьная, 20
Республика Марий Эл, Юринский район, д. Горный Шумец, 110;д. Горный Шумец, 110
Россия, Кировская область, Уржумский район, деревня Адово, Школьная улица, дом 2;деревня Адово, Школьная улица, дом 2
Воронежская обл., Лискинский р-н, с. Троицкое, ул. Буденного, 118 В;с. Троицкое, ул. Буденного, 118 В
Россия, Кировская область, Котельничский район, село Александровское, Школьная улица, дом 12;с. Александровское, Школьная улица, дом 12
Курганская область, Шадринский район, с. Прогресс, ул. Садовая, 20;с. Прогресс, ул. Садовая, 20
Россия, Республика Мордовия, Ромодановский район, поселок Малые Березники, улица Дорожная, дом 34;п. Малые Березники,ул. Дорожная, дом 34
Оренбургская область, Пономаревский район, п. Река Дема, ул. Новая, 1;п. Река Дема, ул. Новая, 1
Ульяновская область, Барышский район, с. Ляховка, ул. Центральная, 4;с. Ляховка, ул. Центральная, 4
Ульяновская область, г. Ульяновск, ул Гоголя, 40;г. Ульяновск, ул Гоголя, 40
Ульяновская область, Вешкаймский район, с. Стемасс, ул. Центральный массив, 6;с. Стемасс, ул. Центральный массив, 6
Республика Башкортостан, Караидельский район, с. Ургуш, ул. Центральная, 20;с. Ургуш, ул. Центральная, 20
Курганская область, Половинский район, с. Булдак;с. Булдак
Брянская область, Навлинский район, с. Алешинка, ул. Партизанская, 8;с. Алешинка, ул. Партизанская, 8
Ульяновская область, Вешкаймский район, с. Стемасс, ул. Центральный массив, 33;с. Стемасс, ул. Центральный массив, 33
Приморский край, Тернейский район, с. Усть-Соболевка, ул. Школьная, 1;с. Усть-Соболевка, ул. Школьная, 1
Россия, Ивановская область, Кинешемский район, село Красногорский, ул. Центральная, д. 24;с. Красногорский, ул. Центральная, д. 24
Брянская область, Почепский район, с. Милечь, ул. Центральная, 58Б;с. Милечь, ул. Центральная, 58Б
Россия, Кировская область, Слободской район, Деревня Салтыки, ул. Совхозная, д. 9б;Деревня Салтыки, ул. Совхозная, д. 9б
Ставропольский край, Буденновский район, с. Архиповское, ул. Советская, 150;с. Архиповское, ул. Советская, 150
Чувашская Республика - Чувашия, Красночетайский р-н, д. Шоля, ул. Центральная, 103;Чувашия, д. Шоля, ул. Центральная, 103
Ульяновская область, Вешкаймский район, с. Стемасс, ул. Центральный массив, 4;с. Стемасс, ул. Центральный массив, 4
Нижегородская область, Гагинский район, с. Тарханово, ул. Центральная, 22;с. Тарханово, ул. Центральная, 22
Республика Башкортостан, Краснокамский район, с. Музяк, ул. Школьная, 4;с. Музяк, ул. Школьная, 4
Брянская область, Погарский район, с. Стечна, ул. Озерная, 9;с. Стечна, ул. Озерная, 9
Республика Хакасия, Ширинский район, аал Топанов, ул. Школьная, 8;аал Топанов, ул. Школьная, 8
Удмуртская Республика, Увинский район, д. Косоево, ул. Центральная, 5;д. Косоево, ул. Центральная, 5
Оренбургская область, г. Соль-Илецк, ул. Челкарская, 90;г. Соль-Илецк, ул. Челкарская, 90
Оренбургская область, Бугурусланский район, с. Бестужевка, ул. Центральная, 16;с. Бестужевка, ул. Центральная, 16
Воронежская область, Семилукский район, с. Гремячий Колодец, ул. Школьная, 1а.;с. Гремячий Колодец, ул. Школьная, 1а.
Белгородская область, Краснояружский район, село Демидовка, ул. Школьная, д. 3;с. Демидовка, ул. Школьная, д. 3
Ставропольский край, Благодарненский район, х. Большевик, ул. Зеленая, 5;х. Большевик, ул. Зеленая, 5
Вологодская область, Тотемский район, д. Кудринская, 53;д. Кудринская, 53
Ульяновская область, Ульяновский район, п. Ломы, ул. Полевая, 2;п. Ломы, ул. Полевая, 2
Республика Башкортостан, Давлекановский район, д. Новоянбеково, ул. Мира, 57а;д. Новоянбеково, ул. Мира, 57а
Вологодская область, Тарногский район, д. Денисовская, 57;д. Денисовская, 57
Нижегородская область, Дивеевский район, с. Большое Череватово, ул. Солнечная, 7;с. Большое Череватово, ул. Солнечная, 7
Псковская обл., Великолукский р-н, д. Лычево, ул. Мира, 5;д. Лычево, ул. Мира, 5
Республика Башкортостан, Краснокамский район, с.Музяк, у.Школьная, 2;с.Музяк, у.Школьная, 2
Пензенская область, Сосновоборский район, с. Кряжимское;с. Кряжимское
Воронежская область, Лискинский район, село Троицкое, улица Буденного, дом 118А;с. Троицкое,ул. Буденного, дом 118А
Нижегородская область, Дальнеконстантиновский район, с. Тепелево, ул. Советская, 8;с. Тепелево, ул. Советская, 8
Республика Башкортостан, Ермекеевский район, с. Нижнеулу-Елга, ул. Молодежная, 10;с. Нижнеулу-Елга, ул. Молодежная, 10
Республика Башкортостан, Бакалинский район, с. Новоиликово, ул. Магистральная, 2;с. Новоиликово, ул. Магистральная, 2
Республика Башкортостан, Бураевский район, д. Кулаево, ул. Школьная, 2;д. Кулаево, ул. Школьная, 2
Россия, Кировская область, Арбажский район, Село Шараница, ул. Механизаторов, д. 4;с. Шараница, ул. Механизаторов, д. 4
Чувашская Республика - Чувашия, Батыревский р-н, с. Алманчиково, ул. Ленина, 20А;Чувашия, с. Алманчиково, ул. Ленина, 20А
Приморский край, г. Лесозаводск, ул. Пушкинская, 33;г. Лесозаводск, ул. Пушкинская, 33
Республика Башкортостан, Бакалинский район, с. Куштиряково, ул. Речная, 1;с. Куштиряково, ул. Речная, 1
Республика Бурятия, Кяхтинский район, с. Унгуркуй , ул.Партизанская, 19;с. Унгуркуй , ул.Партизанская, 19
Белгородская область, Новооскольский район, село Остаповка, ул. Зеленая, д. 49;с. Остаповка, ул. Зеленая, д. 49
Ставропольский край, Курский район, с. Ростовановское, ул. Береговая, 10;с. Ростовановское, ул. Береговая, 10
Россия, Кировская область, Уржумский район, Село Рождественское, ул. труда, д. 4;с. Рождественское, ул. труда, д. 4
Республика Башкортостан, г. Уфа ул. Мингажева 12;г. Уфа ул. Мингажева 12
Россия, Ивановская область, Ильинский район, деревня Хлебницы, ул. Новая, д. 12;деревня Хлебницы, ул. Новая, д. 12
Вологодская область, Бабушкинский район, д. Аниково, 1;д. Аниково, 1
Россия, Липецкая область, Становлянский район, село Красная Пальна, ул. Фермерская, д. 9;с. Красная Пальна, ул. Фермерская, д. 9
Воронежская обл., Россошанский р-н, х. Кокаревка, ул. Гагарина, 38 А;х. Кокаревка, ул. Гагарина, 38 А
Владимирская область, Кольчугинский район, Село Ельцино, Красноармейская, 1;с. Ельцино, Красноармейская, 1
Республика Карелия, Лахденпохский район, п. Куликово, ул. Ленина, 22;п. Куликово, ул. Ленина, 22
Воронежская обл., Эртильский р-н, с. Ячейка, ул. Свободы, 1;с. Ячейка, ул. Свободы, 1
Воронежская обл., Лискинский р-н, с. Лискинское, ул. 40 лет Победы, 11;с. Лискинское, ул. 40 лет Победы, 11
Камчатский край, г. Петропавловск-Камчатский, ул. Заводская, 16;г. Петропавловск-Камчатский, ул. Заводская, 16
Республика Башкортостан, Илишевский район, с. Урметово, ул. Советская, 17;с. Урметово, ул. Советская, 17
Воронежская область, Ольховатский район, с. Юрасовская, пл. Победы, 18;с. Юрасовская, пл. Победы, 18
Алтай респ., Турочакский р-н, с. Яйлю, ул. Центральная, 12;с. Яйлю, ул. Центральная, 12
Еврейская автономная область, Облученский район, с. Радде, ул. Черемушки 8,;с. Радде, ул. Черемушки 8,
Республика Башкортостан, Давлекановский район, д. Рассвет, ул. Новая, 7;д. Рассвет, ул. Новая, 7
Россия, Кировская область, Малмыжский район, село Савали, Зелёная улица, дом 1А;с. Савали, Зелёная улица, дом 1А
Респу блика Бурятия, Прибайкальский район, с. Турка, ул. Школьная, 40;с. Турка, ул. Школьная, 40
Белгородская область, Грайворонский район, село Безымено, ул. Октябрьская, д. 79;с. Безымено, ул. Октябрьская, д. 79
Республика Башкортостан, Кугарчинский район, х. Новохвалынский, ул. Центральная, 2, стр. 1;х. Новохвалынский, ул. Центральная, 2
Кабардино-Балкарская Республика, Баксанский район, с. Заюково, ул. Кирова, 377;с. Заюково, ул. Кирова, 377
Россия, Ивановская область, Кинешемский район, деревня Лагуниха, ул. Торговая, д. 6;деревня Лагуниха, ул. Торговая, д. 6
Брянская область, Гордеевский район, с. Гордеевка, ул. Победы, 10;с. Гордеевка, ул. Победы, 10
Республика Бурятия, Заиграевский район, село Ташелан, улица Ленина, 29;с. Ташелан,ул. Ленина, 29
Республика Мордовия, Зубово-Полянский район, п. Парца, ул. Школьная,  2А;п. Парца, ул. Школьная, 2А
Курганская область, Куртамышский район, д. Чесноковка, ул. Центральная, 38;д. Чесноковка, ул. Центральная, 38
Камчатский край, Олюторский район, с. Хаилино, ул. Центральная, 10 А;с. Хаилино, ул. Центральная, 10 А
Воронежская область, Панинский район, с. Александровка, ул. Школьная, 21;с. Александровка, ул. Школьная, 21
Камчатский край, Олюторский район, с. Хаилино, ул. Центральная, 16;с. Хаилино, ул. Центральная, 16
Республика Мордовия, Лямбирский район, с. Черемишево, ул. Молодежная, 1 а;с. Черемишево, ул. Молодежная, 1 а
Республика Башкортостан, Благовещенский район, с. Орловка, ул. Школьная, 2;с. Орловка, ул. Школьная, 2
Смоленская область, Вяземский район, Новое Село, ул. Октябрьская, 1;Новое Село, ул. Октябрьская, 1
301530, Тульская область, Белевский район, с. Болото, ул. Рабочая, д.1;с. Болото, ул. Рабочая, д.1
Белгородская область, Яковлевский район, село Локня, ул. Лесная, д. 7;с. Локня, ул. Лесная, д. 7
Нижегородская область, Вачский район, с. Алтунино, ул. Советская, 19;с. Алтунино, ул. Советская, 19
Республика Башкортостан, Кармаскалинский район, д.Мукаево, ул.Центральная, 3;д.Мукаево, ул.Центральная, 3
Псковская обл., Псковский р-н, д. Верхолино, ул. Красных Партизан, 1;д. Верхолино, ул. Красных Партизан, 1
Пензенская область, Иссинский район, с. Знаменская Пестровка, ул. Проезжая, 9;с. Знаменская Пестровка, ул. Проезжая, 9
Камчатский край, Быстринский район, с. Анавгай;с. Анавгай
Хабаровский край, Хабаровский район, с. Елабуга, ул. Центральная, 22;с. Елабуга, ул. Центральная, 22
Оренбургская область, Абдулинский городской округ, д. Васькино, ул. Центральная, 5;д. Васькино, ул. Центральная, 5
Вологодская область, Грязовецкий район, д. Вараксино, 66;д. Вараксино, 66
Брянская область, Трубчевский район, г.Трубчевск, ул. Ленина,  20;г.Трубчевск, ул. Ленина, 20
Республика Коми, Усть-Куломский район, поселок Зимстан, ул. Маяковского, 1;п. Зимстан, ул. Маяковского, 1
Воронежская обл., Кантемировский р-н, с. Гармашевка, ул. Победы, 14;с. Гармашевка, ул. Победы, 14
Кабардино-Балкарская Республика, Баксанский район, с. Заюково, ул. Кирова, 493;с. Заюково, ул. Кирова, 493
Курганская область, Мишкинский район, с. Коровье, ул. Ленина, 6;с. Коровье, ул. Ленина, 6
Брянская область, Клинцовский район, с. Смолевичи, ул. Кооперативная, 4;с. Смолевичи, ул. Кооперативная, 4
Республика Бурятия, Заиграевский район, с. Ташелан , ул.Ленина, 31;с. Ташелан , ул.Ленина, 31
Республика Мордовия, Лямбирский район, с. Черемишово, ул. Молодежная, 35;с. Черемишово, ул. Молодежная, 35
Алтай респ., Чемальский р-н, с. Чепош, ул. Трактовая, 36;с. Чепош, ул. Трактовая, 36
Приморский край, Шкотовский район, с. Анисимовка, ул. Смольная, 4, лит. В;с. Анисимовка, ул. Смольная, 4, лит. В
Кабардино-Балкарская Республика, Баксанский район, с. Заюково, ул. Кирова, 161;с. Заюково, ул. Кирова, 161
Республика Башкортостан, Гафурийский район, д. Тугаево, ул. Центральная, 26;д. Тугаево, ул. Центральная, 26
Республика Карелия, Кемский район, пгт. Кривой Порог;пгт. Кривой Порог
Курганская область, Мишкинский район, с. Коровье, ул. Ленина, 12;с. Коровье, ул. Ленина, 12
Республика Башкортостан, Шаранский район, с. Чалмалы, ул. Центральная, 78;с. Чалмалы, ул. Центральная, 78
Вологодская область, Вытегорский район, д. Тудозеро, ул. Молодежная, 4;д. Тудозеро, ул. Молодежная, 4
Республика Мордовия, Ковылкинский район, с. Старая Сазоновка, ул. Школьная, 1а;с. Старая Сазоновка, ул. Школьная, 1а
Республика Башкортостан, Абзелиловский район, д. Северный, ул. Клубная, д.;д. Северный, ул. Клубная, д.
Приморский край, г. Большой Камень, ул. Адмирала Макарова, 10;г. Большой Камень, ул. Адмирала Макарова, 10
Удмуртская Республика, Шарканский район, д. Мувыр, ул. Центральная, 3;д. Мувыр, ул. Центральная, 3
Республика Башкортостан, Бурзянский район д. Байгазино ул. Горная 2;д. Байгазино ул. Горная 2
Ставропольский край, Апанасенковский район, с. Вознесеновское, ул. Красная, 6;с. Вознесеновское, ул. Красная, 6
Пензенская область, Спасский район, с. Татарский Шелдаис, ул. Школьная, 6а;с. Татарский Шелдаис, ул. Школьная, 6а
Россия, Кировская область, Пижанский район, Деревня Ахманово, ул. Советская, д. 5;Деревня Ахманово, ул. Советская, д. 5
Республика Башкортостан, г. Уфа, бульвар Хадии Давлетшиной, 3;г. Уфа, бульвар Хадии Давлетшиной, 3
Вологодская область, Тарногский район, п. Вощар, 41;п. Вощар, 41
Чувашская Республика-Чувашия, Канашский район, д. Кармамеи, ул. Центральная, 8;д. Кармамеи, ул. Центральная, 8
Нижегородская область, Дальнеконстантиновский район, с. Богоявление, ул. Шоссейная, 38;с. Богоявление, ул. Шоссейная, 38
Ивановская область, Лухский район, с. Тимирязево, 62;с. Тимирязево, 62
Чувашская Республика - Чувашия, Аликовский р-н, с. Большая Выла, ул. Кооперативная, 45;Чувашия, с. Большая Выла, ул. Кооперативная, 45
Республика Марий Эл, Моркинский район, д. Шордур, ул. Школьная, 30;д. Шордур, ул. Школьная, 30
Ставропольский край, Арзгирский район, п. Чограйский, ул. Симоненко, 22;п. Чограйский, ул. Симоненко, 22
Чувашская Республика-Чувашия, Красночетайский район, д. Кузнечная, ул. Гайдара, 15 а;д. Кузнечная, ул. Гайдара, 15 а
Россия, Кировская область, Яранский район, Село Каракша, ул. Октябрьская, д. 4;с. Каракша, ул. Октябрьская, д. 4
Воронежская обл., Грибановский р-н, с. Власовка, ул. Пролетарская, 59;с. Власовка, ул. Пролетарская, 59
Нижегородская область, Дальнеконстантиновский район, с. Богоявление, ул. Шоссейная, 145;с. Богоявление, ул. Шоссейная, 145
Воронежская обл., Новоусманский р-н, п. совхоз Новоусманский 1-ое отделение, ул. Мичурина, 12 А;п. совхоз Новоусманский 1-ое отделение, ул. Мичурина, 12 А
Смоленская область, г. Десногорск, мкр 1-й, стр. 2;г. Десногорск, мкр 1-й
Россия, Липецкая область, Хлевенский район, деревня Круглянка, ул. Надгорная, д. 9;деревня Круглянка, ул. Надгорная, д. 9
Россия, Ивановская область, Вичугский район, деревня Федяево, без. улицы, д. 7;деревня Федяево, без. улицы, д. 7
Пензенская область, Сердобский район,  п. Октябрьский, ул. Садовая, 2;п. Октябрьский, ул. Садовая, 2
Нижегородская область, Дальнеконстантиновский район, с. Румянцево, ул. Центральная, 30;с. Румянцево, ул. Центральная, 30
Республика Марий Эл, Моркинский район, п. Октябрьский, ул. Профсоюзная, 60;п. Октябрьский, ул. Профсоюзная, 60
Россия, Республика Мордовия, Теньгушевский район, село Такушево, улица Новая, дом 4;с. Такушево,ул. Новая, дом 4
Россия, Липецкая область, Елецкий район, деревня Чернышевка, ул. Речная, д. 20;деревня Чернышевка, ул. Речная, д. 20
Томская область, Кожевниковский район, с. Батурино, ул. Ленина, 18;с. Батурино, ул. Ленина, 18
Еврейская автономная область, Облученский район, пгт. Биракан, ул. Октябрьская, 34А;пгт. Биракан, ул. Октябрьская, 34А
Ханты-Мансийский автономный округ-Югра, Нефтеюганский р-н, с дробь п Каркатеевы, ул. Центральная, 42;с дробь п Каркатеевы, ул. Центральная, 42
Республика Коми, Удорский район, д. Малая Пысса, 40;д. Малая Пысса, 40
Республика Башкортостан, Зианчуринский район, д. Кужанак, ул. Школьная, 22;д. Кужанак, ул. Школьная, 22
Россия, Липецкая область, Тербунский район, село Яковлево, пер. Почтовый, д. 6;с. Яковлево, пер. Почтовый, д. 6
Республика Марий Эл, Моркинский район, п. Октябрьский, ул. Профсоюзная, 71;п. Октябрьский, ул. Профсоюзная, 71
Владимирская область, Петушинский район, Поселок Березка, без улицы, 9;п. Березка, без улицы, 9
Самарская область, Красноярский район, пгт. Новосемейкино, Промышленное шоссе, 7;пгт. Новосемейкино, Промышленное шоссе, 7
Удмуртская Республика, Увинский район, поч. Кизварь, ул. Животноводов, 13;поч. Кизварь, ул. Животноводов, 13
Республика Башкортостан, Альшеевский район, с. Кармышево, ул. Школьная, 1;с. Кармышево, ул. Школьная, 1
Республика Хакасия, Усть-Абаканский район, п. Расцвет, ул. Космонавтов, 6;п. Расцвет, ул. Космонавтов, 6
Приморский край, Лазовский район, пгт. Преображение, ул. Заводская, 9;пгт. Преображение, ул. Заводская, 9
Республика Башкортостан, Кигинский район, д. Кульметово, ул. М.Губайдуллина, 23;д. Кульметово, ул. М.Губайдуллина, 23
Владимирская область, Александровский район, Поселок Майский, Первомайская, 1;п. Майский, Первомайская, 1
Псковская область, Гдовский район, г. Гдов, ул. Печатникова, 37;г. Гдов, ул. Печатникова, 37
Республика Башкортостан, Учалинский район, д. Москово, ул. Набережная, 42;д. Москово, ул. Набережная, 42
Нижегородская область, Бутурлинский район, с. Ягубовка, ул. Советская, 74;с. Ягубовка, ул. Советская, 74
Вологодская область, Нюксенский район, п. Леваш, ул. Рабочая, 13;п. Леваш, ул. Рабочая, 13
Белгородская область, Прохоровский район, поселок Политотдельский, ул. Победы, д. 2;п. Политотдельский, ул. Победы, д. 2
Республика Хакасия, Таштыпский р-н, Деревня Верхняя Сея, ул. Школьная, д. 13;Деревня Верхняя Сея, ул. Школьная, д. 13
Воронежская обл., Верхнехавский р-н, с. Верхняя Байгора, ул. 50 лет Октября, 21 дробь 2;с. Верхняя Байгора, ул. 50 лет Октября, 21 дробь 2
Курганская область, Шадринский район, д. Шахматово, ул. Солдатская, 16;д. Шахматово, ул. Солдатская, 16
Пензенская область, Сердобский район,  с. Камзолка, ул. Луговая, 6;с. Камзолка, ул. Луговая, 6
Оренбургская область, Северный район, с. Аксенкино, ул. Центральная, 72;с. Аксенкино, ул. Центральная, 72
Смоленская область, Руднянский район, Боярщина, ул. Центральная, 19;Боярщина, ул. Центральная, 19
Республика Башкортостан, Кугарчинский район, с. Волостновка, ул. Центральная, 4;с. Волостновка, ул. Центральная, 4
Россия, Липецкая область, Воловский район, деревня Предтечевка, ул. Калинина, д. 16;деревня Предтечевка, ул. Калинина, д. 16
